Churn,Contract,PaymentMethod,PaperlessBilling,Charges.Monthly,Charges.Total,InternetService,OnlineSecurity,TechSupport,StreamingTV,StreamingMovies
0,two year,credit card (automatic),no,25.5,630.6,no,no internet service,no internet service,no internet service,no internet service
0,one year,bank transfer (automatic),yes,61.6,1611.0,dsl,yes,no,no,no
0,month-to-month,mailed check,yes,45.0,1242.45,dsl,yes,yes,no,no
0,two year,bank transfer (automatic),yes,85.15,6316.2,dsl,no,yes,yes,yes
0,one year,credit card (automatic),no,51.45,727.85,dsl,no,no,no,no
0,one year,electronic check,yes,99.25,3532.0,fiber optic,no,yes,yes,yes
0,month-to-month,mailed check,yes,44.3,44.3,dsl,no,no,no,no
0,month-to-month,electronic check,yes,94.2,2607.6,fiber optic,no,yes,yes,yes
0,one year,electronic check,no,81.25,5567.55,dsl,yes,yes,yes,no
0,month-to-month,credit card (automatic),yes,99.95,3767.4,fiber optic,no,yes,yes,yes
0,month-to-month,electronic check,yes,91.55,3673.6,fiber optic,no,no,yes,yes
1,month-to-month,credit card (automatic),yes,104.5,4036.85,fiber optic,no,no,yes,yes
1,month-to-month,electronic check,yes,95.0,1120.3,fiber optic,no,no,yes,yes
0,month-to-month,electronic check,no,50.35,314.55,dsl,no,no,no,no
0,month-to-month,mailed check,yes,64.5,1888.45,dsl,yes,no,no,yes
0,month-to-month,electronic check,yes,19.4,529.8,no,no internet service,no internet service,no internet service,no internet service
0,one year,electronic check,yes,104.8,7308.95,fiber optic,no,no,yes,yes
0,one year,bank transfer (automatic),yes,109.4,6252.7,fiber optic,no,yes,yes,yes
0,one year,credit card (automatic),no,50.3,2878.55,dsl,no,no,no,no
0,month-to-month,bank transfer (automatic),yes,71.4,1212.1,dsl,no,no,no,yes
0,two year,electronic check,yes,116.0,8182.85,fiber optic,yes,yes,yes,yes
1,month-to-month,electronic check,yes,19.85,19.85,no,no internet service,no internet service,no internet service,no internet service
1,month-to-month,electronic check,yes,99.75,99.75,fiber optic,no,no,yes,yes
0,month-to-month,mailed check,yes,93.95,2861.45,fiber optic,no,no,yes,yes
0,month-to-month,bank transfer (automatic),yes,90.8,1442.2,fiber optic,no,no,yes,no
1,one year,electronic check,no,84.35,4059.35,dsl,yes,yes,yes,yes
0,two year,bank transfer (automatic),no,58.25,4145.9,dsl,no,yes,yes,yes
0,month-to-month,electronic check,no,107.55,3645.5,fiber optic,no,no,yes,yes
0,month-to-month,bank transfer (automatic),yes,19.95,187.75,no,no internet service,no internet service,no internet service,no internet service
1,month-to-month,electronic check,yes,111.2,2317.1,fiber optic,no,yes,yes,yes
1,month-to-month,bank transfer (automatic),no,40.2,1448.8,dsl,yes,no,no,no
0,month-to-month,credit card (automatic),yes,85.8,2193.65,fiber optic,yes,no,yes,no
0,two year,credit card (automatic),yes,19.9,1355.1,no,no internet service,no internet service,no internet service,no internet service
0,one year,mailed check,yes,35.4,1748.9,dsl,yes,yes,no,no
1,month-to-month,electronic check,yes,73.85,511.25,fiber optic,no,no,no,no
0,two year,mailed check,no,88.1,5526.75,dsl,yes,yes,yes,yes
1,month-to-month,electronic check,yes,101.35,1553.95,fiber optic,no,yes,yes,yes
0,month-to-month,mailed check,no,45.8,1147.0,dsl,yes,yes,no,yes
0,month-to-month,electronic check,yes,94.65,6747.35,fiber optic,no,no,yes,yes
0,one year,bank transfer (automatic),yes,20.5,865.05,no,no internet service,no internet service,no internet service,no internet service
0,month-to-month,credit card (automatic),no,89.4,5976.9,fiber optic,no,no,no,yes
1,month-to-month,electronic check,yes,86.25,181.65,fiber optic,yes,yes,no,no
0,one year,bank transfer (automatic),no,74.85,3268.05,dsl,no,yes,yes,yes
1,month-to-month,bank transfer (automatic),yes,89.75,1052.4,fiber optic,no,no,yes,no
0,two year,electronic check,yes,109.95,7634.25,fiber optic,no,yes,yes,yes
1,month-to-month,mailed check,yes,80.2,80.2,fiber optic,no,no,no,no
1,month-to-month,mailed check,no,19.85,63.75,no,no internet service,no internet service,no internet service,no internet service
0,month-to-month,electronic check,no,90.35,190.5,fiber optic,yes,no,yes,no
0,month-to-month,bank transfer (automatic),yes,86.45,2401.05,fiber optic,no,no,no,no
0,month-to-month,electronic check,yes,20.3,511.25,no,no internet service,no internet service,no internet service,no internet service
0,month-to-month,electronic check,yes,101.25,3949.15,fiber optic,no,yes,yes,yes
1,month-to-month,bank transfer (automatic),yes,94.7,2362.1,fiber optic,no,no,yes,yes
1,month-to-month,mailed check,no,70.9,70.9,fiber optic,no,no,no,no
0,one year,electronic check,yes,58.75,1696.2,dsl,yes,yes,no,no
1,month-to-month,electronic check,yes,54.2,1152.7,dsl,yes,yes,no,no
0,month-to-month,credit card (automatic),no,59.9,287.85,dsl,yes,yes,no,no
0,two year,electronic check,yes,114.9,8496.7,fiber optic,yes,yes,yes,yes
0,two year,bank transfer (automatic),yes,19.55,470.2,no,no internet service,no internet service,no internet service,no internet service
0,month-to-month,electronic check,yes,86.85,1564.4,fiber optic,no,no,yes,no
0,two year,credit card (automatic),no,25.35,1847.55,no,no internet service,no internet service,no internet service,no internet service
0,month-to-month,bank transfer (automatic),yes,109.9,3694.7,fiber optic,yes,yes,yes,yes
0,month-to-month,mailed check,no,19.95,58.0,no,no internet service,no internet service,no internet service,no internet service
0,month-to-month,electronic check,no,87.2,4017.45,fiber optic,no,no,yes,no
0,two year,mailed check,no,108.15,6825.65,fiber optic,yes,yes,yes,yes
0,one year,bank transfer (automatic),yes,116.3,8309.55,fiber optic,yes,yes,yes,yes
0,month-to-month,electronic check,yes,89.0,605.45,fiber optic,no,no,yes,yes
0,month-to-month,mailed check,no,74.4,1972.35,fiber optic,yes,no,no,no
0,month-to-month,mailed check,no,20.05,33.7,no,no internet service,no internet service,no internet service,no internet service
0,two year,bank transfer (automatic),no,35.05,844.45,dsl,yes,yes,no,no
0,month-to-month,electronic check,yes,74.75,2111.3,dsl,yes,no,yes,yes
1,one year,credit card (automatic),yes,105.5,6205.5,fiber optic,yes,yes,yes,yes
1,month-to-month,electronic check,yes,85.25,855.3,fiber optic,no,no,no,yes
0,month-to-month,credit card (automatic),yes,75.2,633.85,fiber optic,no,no,no,no
1,month-to-month,electronic check,yes,84.35,474.9,fiber optic,no,no,no,yes
0,one year,bank transfer (automatic),no,84.45,5848.6,fiber optic,yes,no,no,no
0,two year,bank transfer (automatic),yes,102.4,6471.85,fiber optic,yes,no,yes,yes
1,one year,credit card (automatic),no,115.55,8127.6,fiber optic,yes,yes,yes,yes
1,one year,bank transfer (automatic),no,25.3,676.35,no,no internet service,no internet service,no internet service,no internet service
0,two year,mailed check,yes,19.25,864.2,no,no internet service,no internet service,no internet service,no internet service
0,one year,mailed check,yes,114.65,6049.5,fiber optic,yes,yes,yes,yes
1,month-to-month,electronic check,no,105.1,1582.75,fiber optic,yes,yes,yes,yes
0,month-to-month,bank transfer (automatic),no,19.4,198.1,no,no internet service,no internet service,no internet service,no internet service
0,month-to-month,electronic check,yes,50.35,1098.85,dsl,no,no,yes,yes
0,two year,bank transfer (automatic),no,57.8,4039.3,dsl,no,yes,yes,yes
0,month-to-month,credit card (automatic),yes,84.3,2438.6,fiber optic,yes,no,no,no
0,one year,bank transfer (automatic),no,100.55,7113.75,fiber optic,no,no,yes,yes
0,one year,credit card (automatic),no,19.8,576.65,no,no internet service,no internet service,no internet service,no internet service
1,month-to-month,bank transfer (automatic),yes,84.8,371.9,fiber optic,no,no,no,no
1,month-to-month,electronic check,yes,85.85,167.3,fiber optic,no,no,no,yes
0,one year,bank transfer (automatic),yes,19.95,219.5,no,no internet service,no internet service,no internet service,no internet service
0,month-to-month,electronic check,no,75.35,273.4,fiber optic,yes,no,no,no
0,month-to-month,credit card (automatic),yes,48.8,2555.05,dsl,yes,no,yes,yes
1,month-to-month,electronic check,no,47.15,223.15,dsl,no,no,no,no
0,two year,mailed check,no,20.15,165.5,no,no internet service,no internet service,no internet service,no internet service
0,month-to-month,electronic check,yes,44.3,89.3,dsl,no,no,no,no
0,month-to-month,electronic check,no,84.3,235.05,fiber optic,no,no,no,yes
0,month-to-month,electronic check,no,59.55,1144.6,dsl,no,yes,no,no
0,two year,bank transfer (automatic),no,69.65,4908.25,dsl,yes,yes,no,no
0,one year,bank transfer (automatic),no,36.1,2298.9,dsl,yes,yes,no,no
0,two year,bank transfer (automatic),yes,56.6,3789.2,dsl,yes,yes,yes,no
1,month-to-month,electronic check,yes,75.9,75.9,fiber optic,no,yes,no,no
0,one year,bank transfer (automatic),yes,79.2,4765.0,fiber optic,no,no,no,no
0,one year,credit card (automatic),no,45.0,2196.3,dsl,yes,no,no,yes
1,month-to-month,credit card (automatic),yes,85.55,85.55,fiber optic,no,no,yes,no
1,month-to-month,electronic check,yes,93.35,1444.65,fiber optic,no,no,yes,yes
0,month-to-month,bank transfer (automatic),yes,109.65,5405.8,fiber optic,yes,yes,yes,yes
0,two year,credit card (automatic),no,89.7,6339.3,dsl,yes,yes,yes,yes
0,month-to-month,mailed check,no,84.25,3847.6,fiber optic,yes,no,no,no
0,two year,bank transfer (automatic),no,92.65,6733.0,dsl,yes,yes,yes,yes
0,month-to-month,mailed check,no,19.7,19.7,no,no internet service,no internet service,no internet service,no internet service
0,month-to-month,electronic check,yes,50.1,50.1,dsl,no,no,no,no
0,two year,bank transfer (automatic),yes,92.45,6140.85,fiber optic,yes,yes,yes,no
0,two year,electronic check,no,79.65,3870.3,dsl,no,yes,yes,yes
0,two year,electronic check,yes,109.9,7624.2,fiber optic,yes,yes,yes,yes
0,one year,credit card (automatic),yes,81.4,4354.45,dsl,yes,yes,no,yes
0,one year,credit card (automatic),no,50.55,3431.75,dsl,no,no,no,no
1,month-to-month,electronic check,yes,81.05,2227.1,fiber optic,no,no,no,yes
0,month-to-month,bank transfer (automatic),no,62.45,2045.55,dsl,no,no,no,no
1,month-to-month,bank transfer (automatic),yes,75.2,1929.35,fiber optic,yes,no,no,no
0,month-to-month,electronic check,no,90.4,268.45,fiber optic,no,no,no,yes
1,month-to-month,electronic check,yes,85.65,181.5,fiber optic,no,no,yes,no
1,month-to-month,mailed check,yes,72.9,651.4,dsl,no,yes,yes,yes
0,two year,credit card (automatic),yes,70.5,3486.65,dsl,yes,yes,yes,no
0,two year,bank transfer (automatic),no,20.1,1389.6,no,no internet service,no internet service,no internet service,no internet service
1,month-to-month,electronic check,yes,74.9,2303.35,fiber optic,no,no,no,no
0,month-to-month,bank transfer (automatic),no,100.7,1522.7,fiber optic,yes,no,yes,yes
0,two year,bank transfer (automatic),yes,105.65,6717.9,fiber optic,no,yes,yes,yes
0,two year,credit card (automatic),yes,114.3,8058.55,fiber optic,yes,yes,yes,yes
1,month-to-month,electronic check,no,19.75,58.85,no,no internet service,no internet service,no internet service,no internet service
0,one year,mailed check,no,24.35,538.5,no,no internet service,no internet service,no internet service,no internet service
0,two year,bank transfer (automatic),no,69.85,5102.35,dsl,yes,yes,no,no
0,month-to-month,mailed check,no,58.85,465.7,dsl,yes,no,yes,yes
0,one year,bank transfer (automatic),yes,103.15,6792.45,fiber optic,no,no,yes,yes
0,month-to-month,electronic check,yes,54.4,475.1,dsl,no,no,yes,no
0,two year,bank transfer (automatic),no,50.55,3364.55,dsl,no,yes,yes,yes
1,month-to-month,mailed check,no,21.05,113.85,no,no internet service,no internet service,no internet service,no internet service
1,month-to-month,bank transfer (automatic),yes,103.7,5036.3,fiber optic,no,no,yes,yes
0,two year,bank transfer (automatic),yes,19.95,1234.8,no,no internet service,no internet service,no internet service,no internet service
0,month-to-month,mailed check,yes,29.3,355.9,dsl,no,yes,no,no
0,month-to-month,credit card (automatic),yes,54.75,1510.3,dsl,yes,no,no,no
0,month-to-month,electronic check,no,60.55,1982.6,dsl,yes,no,no,no
0,month-to-month,electronic check,yes,86.2,4524.05,dsl,no,yes,yes,yes
1,month-to-month,electronic check,yes,95.45,95.45,fiber optic,no,no,yes,yes
0,month-to-month,credit card (automatic),yes,63.95,318.1,dsl,no,yes,yes,no
0,one year,bank transfer (automatic),yes,65.35,1231.85,dsl,no,yes,no,yes
0,two year,mailed check,no,50.2,2554.0,dsl,no,yes,yes,no
0,two year,bank transfer (automatic),yes,63.8,4684.3,dsl,yes,yes,yes,yes
0,two year,bank transfer (automatic),yes,20.05,614.45,no,no internet service,no internet service,no internet service,no internet service
1,month-to-month,electronic check,no,101.15,842.9,fiber optic,no,no,yes,yes
0,one year,mailed check,no,65.0,2531.8,dsl,no,no,no,yes
0,month-to-month,mailed check,yes,19.25,86.05,no,no internet service,no internet service,no internet service,no internet service
0,one year,mailed check,yes,36.05,402.6,dsl,yes,yes,no,no
1,month-to-month,electronic check,yes,96.1,453.4,fiber optic,no,yes,yes,yes
0,one year,mailed check,no,19.05,326.65,no,no internet service,no internet service,no internet service,no internet service
0,one year,bank transfer (automatic),no,105.75,7382.85,fiber optic,no,yes,yes,yes
0,one year,credit card (automatic),yes,40.4,422.6,dsl,no,yes,no,no
1,month-to-month,electronic check,yes,99.15,6010.05,fiber optic,no,no,yes,yes
0,one year,bank transfer (automatic),yes,84.8,6046.1,dsl,yes,yes,yes,yes
0,month-to-month,mailed check,no,19.85,178.8,no,no internet service,no internet service,no internet service,no internet service
0,month-to-month,electronic check,yes,49.45,314.6,dsl,yes,no,no,no
1,month-to-month,bank transfer (automatic),yes,88.8,2274.35,fiber optic,no,no,yes,yes
0,month-to-month,mailed check,no,55.15,322.9,dsl,yes,no,no,no
0,month-to-month,electronic check,no,84.8,888.75,fiber optic,no,no,no,yes
1,month-to-month,electronic check,yes,80.55,80.55,fiber optic,no,no,yes,no
0,two year,bank transfer (automatic),yes,20.15,973.35,no,no internet service,no internet service,no internet service,no internet service
0,month-to-month,credit card (automatic),yes,58.7,168.6,dsl,no,no,yes,no
0,two year,mailed check,no,99.5,5424.25,fiber optic,yes,yes,no,yes
1,month-to-month,electronic check,yes,99.85,2331.3,fiber optic,yes,yes,yes,yes
1,month-to-month,electronic check,no,45.35,89.5,dsl,no,no,no,no
1,month-to-month,mailed check,yes,48.55,48.55,dsl,yes,no,no,no
0,two year,mailed check,yes,26.4,121.25,no,no internet service,no internet service,no internet service,no internet service
1,month-to-month,electronic check,yes,100.2,6851.65,fiber optic,no,no,yes,yes
1,month-to-month,electronic check,yes,94.7,740.3,fiber optic,no,no,yes,yes
0,one year,electronic check,yes,97.65,6982.5,fiber optic,no,no,yes,yes
0,one year,electronic check,no,100.0,3835.55,fiber optic,no,no,yes,yes
1,month-to-month,electronic check,yes,70.1,70.1,fiber optic,no,no,no,no
0,two year,bank transfer (automatic),no,34.2,1782.0,dsl,yes,yes,no,no
1,month-to-month,electronic check,yes,97.9,315.3,fiber optic,no,yes,yes,yes
0,one year,bank transfer (automatic),no,102.5,6157.6,fiber optic,no,no,yes,yes
1,month-to-month,electronic check,no,69.95,330.15,fiber optic,no,no,no,no
1,month-to-month,electronic check,yes,81.35,233.7,fiber optic,no,no,no,no
0,one year,credit card (automatic),yes,66.05,3462.1,dsl,yes,yes,no,no
0,two year,credit card (automatic),yes,61.2,4390.25,dsl,yes,yes,yes,yes
0,two year,bank transfer (automatic),no,74.4,5360.75,dsl,yes,yes,yes,no
1,month-to-month,electronic check,yes,106.3,4443.45,fiber optic,no,no,yes,yes
0,two year,bank transfer (automatic),no,39.6,2424.5,dsl,yes,no,no,no
1,month-to-month,electronic check,no,89.3,577.6,fiber optic,no,no,yes,yes
0,two year,credit card (automatic),yes,108.9,4854.3,fiber optic,no,yes,yes,yes
0,month-to-month,mailed check,no,19.9,320.45,no,no internet service,no internet service,no internet service,no internet service
1,month-to-month,credit card (automatic),yes,102.1,5885.4,fiber optic,no,yes,yes,yes
0,two year,credit card (automatic),no,19.6,426.65,no,no internet service,no internet service,no internet service,no internet service
1,month-to-month,electronic check,yes,98.9,2911.3,fiber optic,no,yes,yes,yes
0,month-to-month,bank transfer (automatic),yes,45.9,521.9,dsl,no,no,no,no
0,two year,bank transfer (automatic),yes,99.9,5706.3,fiber optic,no,yes,yes,no
0,month-to-month,credit card (automatic),no,20.05,471.7,no,no internet service,no internet service,no internet service,no internet service
0,two year,credit card (automatic),no,64.35,4539.6,dsl,yes,yes,yes,yes
0,two year,credit card (automatic),no,19.65,830.25,no,no internet service,no internet service,no internet service,no internet service
1,month-to-month,electronic check,yes,84.9,3067.2,fiber optic,no,no,no,yes
1,month-to-month,credit card (automatic),yes,108.15,3432.9,fiber optic,yes,yes,yes,yes
0,two year,bank transfer (automatic),no,86.85,6263.8,dsl,yes,yes,yes,yes
0,month-to-month,electronic check,yes,102.55,1742.5,fiber optic,no,no,yes,yes
0,month-to-month,electronic check,no,78.2,1468.75,fiber optic,no,yes,no,no
0,month-to-month,bank transfer (automatic),no,91.2,3382.3,fiber optic,yes,no,no,no
0,month-to-month,mailed check,no,19.35,46.35,no,no internet service,no internet service,no internet service,no internet service
0,one year,bank transfer (automatic),yes,70.4,1992.2,fiber optic,no,no,no,no
0,one year,mailed check,no,39.55,373.0,dsl,yes,no,no,no
0,month-to-month,electronic check,no,50.15,50.15,dsl,yes,no,no,no
0,two year,credit card (automatic),yes,20.4,1414.45,no,no internet service,no internet service,no internet service,no internet service
0,month-to-month,electronic check,no,44.6,122.7,dsl,no,no,no,no
1,month-to-month,electronic check,yes,34.7,34.7,dsl,no,no,yes,no
0,month-to-month,electronic check,yes,93.6,3366.05,fiber optic,yes,no,yes,yes
1,month-to-month,electronic check,yes,90.6,1943.2,fiber optic,no,yes,yes,no
0,month-to-month,mailed check,yes,57.95,1271.8,dsl,yes,yes,no,no
0,two year,credit card (automatic),no,112.1,7965.95,fiber optic,yes,yes,yes,yes
1,month-to-month,electronic check,no,88.25,1460.65,fiber optic,no,no,yes,no
1,month-to-month,electronic check,no,85.8,272.2,fiber optic,no,yes,no,yes
1,one year,credit card (automatic),no,60.3,3563.8,dsl,yes,no,no,no
0,two year,credit card (automatic),no,81.35,5398.6,dsl,yes,no,yes,yes
0,one year,electronic check,yes,99.85,3343.15,fiber optic,no,no,yes,yes
0,month-to-month,credit card (automatic),no,20.0,198.7,no,no internet service,no internet service,no internet service,no internet service
0,two year,credit card (automatic),yes,85.35,5897.4,dsl,yes,yes,yes,yes
0,one year,credit card (automatic),no,62.05,2511.55,dsl,yes,no,yes,yes
0,month-to-month,credit card (automatic),no,64.4,1398.6,dsl,yes,no,no,yes
0,two year,mailed check,no,19.4,967.85,no,no internet service,no internet service,no internet service,no internet service
1,month-to-month,electronic check,yes,74.4,139.4,fiber optic,yes,no,no,no
1,month-to-month,mailed check,yes,70.45,70.45,fiber optic,no,no,no,no
0,two year,credit card (automatic),yes,105.0,7589.8,fiber optic,yes,no,yes,yes
0,two year,credit card (automatic),no,25.15,1790.15,no,no internet service,no internet service,no internet service,no internet service
0,month-to-month,mailed check,no,19.3,44.4,no,no internet service,no internet service,no internet service,no internet service
0,month-to-month,bank transfer (automatic),yes,55.3,1284.2,dsl,no,yes,no,no
0,month-to-month,electronic check,yes,95.4,3474.2,fiber optic,no,no,yes,yes
1,month-to-month,bank transfer (automatic),yes,93.85,5574.75,fiber optic,no,no,yes,yes
0,two year,bank transfer (automatic),no,20.5,1430.95,no,no internet service,no internet service,no internet service,no internet service
0,two year,bank transfer (automatic),yes,105.55,7542.25,fiber optic,yes,no,yes,yes
1,month-to-month,bank transfer (automatic),yes,101.9,3545.35,fiber optic,no,no,yes,yes
0,two year,bank transfer (automatic),no,24.45,1709.1,no,no internet service,no internet service,no internet service,no internet service
0,two year,credit card (automatic),no,19.7,1421.9,no,no internet service,no internet service,no internet service,no internet service
1,month-to-month,electronic check,yes,74.4,229.55,fiber optic,no,no,no,no
1,one year,credit card (automatic),yes,101.5,5373.1,fiber optic,no,no,yes,yes
1,month-to-month,electronic check,yes,95.75,5742.9,fiber optic,no,no,yes,no
0,one year,credit card (automatic),yes,110.65,6526.65,fiber optic,yes,no,yes,yes
0,month-to-month,bank transfer (automatic),yes,83.85,2674.15,fiber optic,no,no,no,yes
0,month-to-month,electronic check,yes,60.25,170.5,dsl,no,no,yes,no
0,two year,electronic check,yes,59.2,3175.85,dsl,yes,yes,no,no
1,month-to-month,mailed check,no,44.4,44.4,dsl,no,no,no,no
0,month-to-month,credit card (automatic),yes,85.3,4297.95,fiber optic,no,no,yes,no
1,month-to-month,mailed check,no,25.5,215.2,dsl,no,no,no,no
0,month-to-month,electronic check,yes,99.75,4036.0,fiber optic,no,no,yes,yes
0,two year,credit card (automatic),yes,66.1,4428.45,dsl,yes,no,no,no
0,one year,mailed check,no,20.55,295.95,no,no internet service,no internet service,no internet service,no internet service
0,one year,electronic check,yes,98.85,4947.55,fiber optic,no,no,yes,yes
0,month-to-month,mailed check,no,49.2,447.9,dsl,no,yes,no,no
1,month-to-month,mailed check,no,20.9,20.9,no,no internet service,no internet service,no internet service,no internet service
0,one year,bank transfer (automatic),yes,19.5,516.3,no,no internet service,no internet service,no internet service,no internet service
0,month-to-month,bank transfer (automatic),yes,87.0,1850.65,fiber optic,no,no,yes,no
0,month-to-month,electronic check,yes,49.0,749.25,dsl,no,no,no,no
1,one year,bank transfer (automatic),yes,90.1,2598.95,fiber optic,no,no,yes,yes
0,month-to-month,mailed check,no,90.7,237.65,fiber optic,no,no,yes,yes
0,month-to-month,electronic check,yes,100.5,4707.1,fiber optic,no,no,yes,yes
0,two year,mailed check,yes,85.25,5714.2,dsl,yes,yes,yes,yes
0,month-to-month,electronic check,yes,74.7,1294.6,fiber optic,no,no,no,no
0,two year,credit card (automatic),yes,60.15,3753.2,dsl,no,yes,no,no
0,one year,electronic check,yes,80.55,3263.9,dsl,no,no,yes,yes
0,month-to-month,mailed check,yes,50.15,2139.1,dsl,no,no,no,no
0,one year,credit card (automatic),yes,94.45,5042.75,fiber optic,no,yes,no,yes
0,two year,mailed check,yes,20.05,1036.0,no,no internet service,no internet service,no internet service,no internet service
0,one year,bank transfer (automatic),yes,115.6,6431.05,fiber optic,yes,yes,yes,yes
1,month-to-month,bank transfer (automatic),yes,45.3,2145.0,dsl,yes,no,no,yes
0,month-to-month,bank transfer (automatic),yes,99.65,2404.85,fiber optic,no,no,yes,yes
0,month-to-month,electronic check,yes,95.55,2510.2,fiber optic,no,no,no,yes
0,two year,bank transfer (automatic),no,80.6,2651.1,fiber optic,no,yes,no,no
0,two year,electronic check,no,85.25,5538.35,dsl,yes,yes,yes,yes
0,month-to-month,electronic check,yes,69.55,200.2,fiber optic,no,no,no,no
0,two year,mailed check,no,35.4,450.4,dsl,no,yes,no,no
0,two year,credit card (automatic),no,83.5,5435.0,dsl,yes,no,yes,yes
1,month-to-month,electronic check,no,83.8,1900.25,fiber optic,no,yes,no,no
0,two year,credit card (automatic),no,25.6,1334.5,no,no internet service,no internet service,no internet service,no internet service
0,month-to-month,credit card (automatic),yes,20.75,67.1,no,no internet service,no internet service,no internet service,no internet service
0,month-to-month,bank transfer (automatic),yes,56.75,503.25,dsl,no,no,no,yes
0,two year,bank transfer (automatic),no,20.1,1460.85,no,no internet service,no internet service,no internet service,no internet service
0,month-to-month,credit card (automatic),yes,98.8,2807.1,fiber optic,no,yes,yes,yes
0,one year,electronic check,yes,104.85,6312.9,fiber optic,yes,no,yes,yes
1,one year,electronic check,yes,73.0,3001.2,dsl,no,no,yes,yes
1,month-to-month,electronic check,yes,77.85,3365.85,fiber optic,no,no,no,no
0,two year,electronic check,yes,105.45,2715.3,fiber optic,no,yes,yes,yes
0,month-to-month,electronic check,yes,96.8,1743.05,fiber optic,no,no,yes,yes
0,two year,credit card (automatic),no,24.25,1784.5,no,no internet service,no internet service,no internet service,no internet service
0,one year,bank transfer (automatic),yes,102.15,4735.35,fiber optic,no,no,yes,yes
0,one year,bank transfer (automatic),yes,64.85,2010.95,dsl,no,no,yes,yes
0,month-to-month,bank transfer (automatic),yes,25.25,996.45,no,no internet service,no internet service,no internet service,no internet service
0,two year,credit card (automatic),no,24.75,1715.1,no,no internet service,no internet service,no internet service,no internet service
1,month-to-month,electronic check,yes,96.75,5238.9,fiber optic,yes,no,yes,no
0,two year,mailed check,no,19.65,225.75,no,no internet service,no internet service,no internet service,no internet service
